id,name,description,longitude,latitude,image_url,article_url,source,source_url
Q7107142,ওসমানী জাদুঘর,বাংলাদেশের সিলেট শহরে অবস্থিত জাদুঘর,91.8773,24.894,http://commons.wikimedia.org/wiki/Special:FilePath/%E0%A6%93%E0%A6%B8%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A7%80%20%E0%A6%9C%E0%A6%BE%E0%A6%A6%E0%A7%81%E0%A6%98%E0%A6%B0%E0%A7%87%E0%A6%B0%20%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A7%87%E0%A6%B6%E0%A6%AA%E0%A6%A5.jpg,https://en.wikipedia.org/wiki/Osmani_Museum,Wikidata,http://www.wikidata.org/entity/Q7107142
Q17069124,ময়মনসিংহ জাদুঘর,বাংলাদেশের ময়মনসিংহ শহরে অবস্থিত জাদুঘর,90.4056,24.7609,http://commons.wikimedia.org/wiki/Special:FilePath/Mymensingh%20museum%20%2818955693949%29.jpg,https://en.wikipedia.org/wiki/Mymensingh_Museum,Wikidata,http://www.wikidata.org/entity/Q17069124
Q92538250,হামিদুজ্জামান ভাস্কর্য পার্ক,বাংলাদেশের গাজীপুরের কালিয়াকৈর উপজেলায় অবস্থিত একটি ভাস্কর্য উদ্যান,90.338884,23.991012,,https://en.wikipedia.org/wiki/Hamiduzzaman_Sculpture_Park,Wikidata,http://www.wikidata.org/entity/Q92538250
Q118465518,বাংলাদেশ বন গবেষণা ইনস্টিটিউট জাদুঘর,বাংলাদেশ বন গবেষণা ইনস্টিটিউটের আধীনে জাদুঘর,91.8245941,22.3741789,,,Wikidata,http://www.wikidata.org/entity/Q118465518
Q2912841,মুক্তিযুদ্ধ জাদুঘর,বাংলাদেশের মুক্তিযুদ্ধ ভিত্তিক যাদুঘর,90.369702,23.775584,http://commons.wikimedia.org/wiki/Special:FilePath/Liberation%20War%20Museum%2Cnew%20building.jpg,https://en.wikipedia.org/wiki/Liberation_War_Museum,Wikidata,http://www.wikidata.org/entity/Q2912841
Q16257913,মিউজিয়াম অব রাজাস,বাংলাদেশের সিলেট শহরে অবস্থিত একটি যাদুঘর,91.8650885,24.8949162,http://commons.wikimedia.org/wiki/Special:FilePath/Raja-Kunjo%2C%20Museum%20of%20Rajas%27%20%2801%29.jpg,https://en.wikipedia.org/wiki/Museum_of_Rajas%27,Wikidata,http://www.wikidata.org/entity/Q16257913
Q18987476,জিয়া স্মৃতি জাদুঘর,"চট্টগ্রাম শহরে অবস্থিত একটি জাদুঘর, বাংলাদেশ",91.8246317,22.3486171,http://commons.wikimedia.org/wiki/Special:FilePath/Zia%20Museum%20001.JPG,https://en.wikipedia.org/wiki/Zia_Memorial_Museum,Wikidata,http://www.wikidata.org/entity/Q18987476
Q3661445,তাজহাট জমিদার বাড়ি,বাংলাদেশের জাদুঘর,89.280367,25.725057,http://commons.wikimedia.org/wiki/Special:FilePath/Tazhat%20Rangpur.jpg,https://en.wikipedia.org/wiki/Tajhat_Palace,Wikidata,http://www.wikidata.org/entity/Q3661445
Q17556276,বাংলাদেশ সামরিক জাদুঘর,ঢাকায় অবস্থিত বাংলাদেশ সেনাবাহিনী কর্তৃক নিয়ন্ত্রিত সামরিক জাদুঘর,90.3858,23.76385,http://commons.wikimedia.org/wiki/Special:FilePath/Bangladesh%20Military%20Museum%20Inside%20%2C%20Bijoy%20Sharani.jpg,https://en.wikipedia.org/wiki/Bangladesh_Military_Museum,Wikidata,http://www.wikidata.org/entity/Q17556276
Q60523244,ভিন্নজগৎ,চিত্তবিনোদন পার্ক,89.1090506,25.8305871,http://commons.wikimedia.org/wiki/Special:FilePath/Vinnyajagat%20Guest%20House%20%26%20Conference%20Centre%20%2801%29.jpg,,Wikidata,http://www.wikidata.org/entity/Q60523244
